Barcode number,Company,Brand,Manufacturer,Rating,Category,Criticism,Praise,Category names
,,Waterfords,,F,3,"0% in Forest 500 Rankings, Pillaging American retail, 0.5/20 in Social Benchmark, JUST Capital ranking, 0.5% in Financial System Benchmark, Collusion lawsuit, 26/100 S&P Global ESG Score, CEO Pay Ratio of 352:1","4/5 for packaging performance, 100% on Corporate Equality Index",Sparkling Water
,,San Pellegrino,,F,3,"Irresponsible marketing, Nanoparticles in baby formula, Boycott call for infant formula, Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Slave labour in Brazil, Control of water in North America, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, ""Net zero"" greenwash, Palm oil sourcing, Promotion of bottled water, 7/27 in pesticides scorecard, Illegal baby food trials in India, Exploitative purchasing practices, 21.2% in BMS Marketing Index, Tier 5 in farm animal welfare rankings, Nanoparticles in baby formula, 39/100 S&P Global ESG Score","100% UTZ Certified cocoa, 4/5 for packaging performance, Modern Slavery disclosure quality, CDP Climate Change score of A-, Climate policy engagement, Access to Nutrition rating, 15/20 in Social Benchmark, 65.6% in Food and Agriculture Benchmark, 54.1% in Nature Benchmark, CDP Forests score of B, 66.5% in Forest 500 Rankings, Palm oil rating - WAZA, CDP Water Security score of B, 34.3% in Human Rights Benchmark, 40.4% in Gender Benchmark",Sparkling Water
,,Mount Franklin,,C,3,"Irresponsible marketing, 10/100 in KnowTheChain Benchmark, Part ownership by Coca-Cola Company","4/5 for packaging performance, Renewable energy use, Banksia Sustainability Award 2019, CDP Climate Change score of A, CDP Water Security score of A-, 84/100 S&P Global ESG Score",Sparkling Water
,,Deep Spring,,C,3,"Irresponsible marketing, 10/100 in KnowTheChain Benchmark, Part ownership by Coca-Cola Company","4/5 for packaging performance, Renewable energy use, Banksia Sustainability Award 2019, CDP Climate Change score of A, CDP Water Security score of A-, 84/100 S&P Global ESG Score",Sparkling Water
,,Schweppes,,C,3,"Supply chain practices in China, Palm oil rating - WAZA, 19.8% in Human Rights Benchmark, 15.2% in Gender Benchmark, 38/100 S&P Global ESG Score","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A-, 11.5/20 in Social Benchmark, 65/100 in TIME rankings",Sparkling Water
,,Acqua Panna,,F,3,"Irresponsible marketing, Nanoparticles in baby formula, Boycott call for infant formula, Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Slave labour in Brazil, Control of water in North America, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, ""Net zero"" greenwash, Palm oil sourcing, Promotion of bottled water, 7/27 in pesticides scorecard, Illegal baby food trials in India, Exploitative purchasing practices, 21.2% in BMS Marketing Index, Tier 5 in farm animal welfare rankings, Nanoparticles in baby formula, 39/100 S&P Global ESG Score","100% UTZ Certified cocoa, 4/5 for packaging performance, Modern Slavery disclosure quality, CDP Climate Change score of A-, Climate policy engagement, Access to Nutrition rating, 15/20 in Social Benchmark, 65.6% in Food and Agriculture Benchmark, 54.1% in Nature Benchmark, CDP Forests score of B, 66.5% in Forest 500 Rankings, Palm oil rating - WAZA, CDP Water Security score of B, 34.3% in Human Rights Benchmark, 40.4% in Gender Benchmark",Sparkling Water
,,San Benedetto,,?,3,none,none,Sparkling Water
,,Santa Vittoria,,B,3,none,3/5 for packaging performance,Sparkling Water
,,Capi,,?,3,none,none,Sparkling Water
,,Northbrook,,D,3,"4.5/10 in Deforestation Scorecard, High free range stocking densities, Poverty wages in Bangladesh, Worker exploitation, 21.4% in Forest 500 Rankings, Unsustainable palm oil use, 13/100 in What Fuels Fashion?, Tier 4 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, COVID Fashion Commitments, Banksia Sustainability Award 2020, Palm oil rating - WAZA, Palm oil scorecard - WWF, International Accord signatory, Ethical Trading Initiative member, 10.5/20 in Social Benchmark",Sparkling Water
,,Dash Water,,B,3,none,Certified B Corporation,Sparkling Water
,,Bubly,,C,3,"Supply chain practices in China, Palm oil rating - WAZA, 19.8% in Human Rights Benchmark, 15.2% in Gender Benchmark, 38/100 S&P Global ESG Score","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A-, 11.5/20 in Social Benchmark, 65/100 in TIME rankings",Sparkling Water
,,Brew Room,,D,4,"4.5/10 in Deforestation Scorecard, High free range stocking densities, Poverty wages in Bangladesh, Worker exploitation, 21.4% in Forest 500 Rankings, Unsustainable palm oil use, 13/100 in What Fuels Fashion?, Tier 4 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, COVID Fashion Commitments, Banksia Sustainability Award 2020, Palm oil rating - WAZA, Palm oil scorecard - WWF, International Accord signatory, Ethical Trading Initiative member, 10.5/20 in Social Benchmark",Kombucha
,,Nature's Way,,D,4,Nanoparticles in baby formula,none,Kombucha
,,Remedy,,B,4,none,"5/5 for packaging performance, Mostly organic products",Kombucha
,,Lo Bros,,C,4,Palm oil rating - WAZA,4/5 for packaging performance,Kombucha
,,Good Earth,,F,4,"Workers rights in India, Workers rights in India, CDP Water Security score of D, Part owned by Tata Group, which has criticisms","4/5 for packaging performance, CDP Climate Change score of B",Kombucha
,,Nexba,,?,4,none,none,Kombucha
,,Bickford's,,B,5,none,4/5 for packaging performance,Bottled Water
,,Cool Ridge,,C,5,"Supply chain practices in China, Palm oil rating - WAZA, 19.8% in Human Rights Benchmark, 15.2% in Gender Benchmark, 38/100 S&P Global ESG Score","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A-, 11.5/20 in Social Benchmark, 65/100 in TIME rankings",Bottled Water
,,Frantelle,,C,5,"Supply chain practices in China, Palm oil rating - WAZA, 19.8% in Human Rights Benchmark, 15.2% in Gender Benchmark, 38/100 S&P Global ESG Score","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A-, 11.5/20 in Social Benchmark, 65/100 in TIME rankings",Bottled Water
,,H2GO,,D,5,"32/100 in KnowTheChain Benchmark, 39/100 S&P Global ESG Score, Supply chain practices in China, Access to Nutrition rating, Unsustainable palm oil use","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A, 59/100 in TIME rankings",Bottled Water
,,Mizone,,D,5,"32/100 in KnowTheChain Benchmark, 39/100 S&P Global ESG Score, Supply chain practices in China, Access to Nutrition rating, Unsustainable palm oil use","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A, 59/100 in TIME rankings",Bottled Water
,,Mount Franklin,,C,5,"Irresponsible marketing, 10/100 in KnowTheChain Benchmark, Part ownership by Coca-Cola Company","4/5 for packaging performance, Renewable energy use, Banksia Sustainability Award 2019, CDP Climate Change score of A, CDP Water Security score of A-, 84/100 S&P Global ESG Score",Bottled Water
,,Neverfail,,C,5,"Irresponsible marketing, 10/100 in KnowTheChain Benchmark, Part ownership by Coca-Cola Company","4/5 for packaging performance, Renewable energy use, Banksia Sustainability Award 2019, CDP Climate Change score of A, CDP Water Security score of A-, 84/100 S&P Global ESG Score",Bottled Water
,,Pureau,,B,5,none,4/5 for packaging performance,Bottled Water
,,Peats Ridge,,C,5,"Irresponsible marketing, 10/100 in KnowTheChain Benchmark, Part ownership by Coca-Cola Company","4/5 for packaging performance, Renewable energy use, Banksia Sustainability Award 2019, CDP Climate Change score of A, CDP Water Security score of A-, 84/100 S&P Global ESG Score",Bottled Water
,,Pump,,C,5,"Irresponsible marketing, 10/100 in KnowTheChain Benchmark, Part ownership by Coca-Cola Company","4/5 for packaging performance, Renewable energy use, Banksia Sustainability Award 2019, CDP Climate Change score of A, CDP Water Security score of A-, 84/100 S&P Global ESG Score",Bottled Water
,,Snowy Mountain,,?,5,none,none,Bottled Water
,,Vittel,,F,5,"Irresponsible marketing, Nanoparticles in baby formula, Boycott call for infant formula, Palm oil sourcing, Delaying action on plastic pollution, Plastic pollution, Slave labour in Brazil, Control of water in North America, Palm oil from illegal sources, Deforestation in Africa, D grade in Keep Forests Standing report, ""Net zero"" greenwash, Palm oil sourcing, Promotion of bottled water, 7/27 in pesticides scorecard, Illegal baby food trials in India, Exploitative purchasing practices, 21.2% in BMS Marketing Index, Tier 5 in farm animal welfare rankings, Nanoparticles in baby formula, 39/100 S&P Global ESG Score","100% UTZ Certified cocoa, 4/5 for packaging performance, Modern Slavery disclosure quality, CDP Climate Change score of A-, Climate policy engagement, Access to Nutrition rating, 15/20 in Social Benchmark, 65.6% in Food and Agriculture Benchmark, 54.1% in Nature Benchmark, CDP Forests score of B, 66.5% in Forest 500 Rankings, Palm oil rating - WAZA, CDP Water Security score of B, 34.3% in Human Rights Benchmark, 40.4% in Gender Benchmark",Bottled Water
,,Evian,,C,5,"Delaying action on plastic pollution, Plastic pollution, Promotion of bottled water, Irresponsible Marketing, Palm oil sourcing, 22/100 in KnowTheChain Benchmark, 23.5% in BMS Marketing Index, Involvement in gambling","CDP Climate Change score of A, CDP Forests score of A-, Palm oil rating - WAZA, Palm oil scorecard - WWF, Access to Nutrition rating, CDP Water Security score of A, 14/20 in Social Benchmark, 60% in Food and Agriculture Benchmark, 46.3% in Nature Benchmark, Supply chain practices in China, Climate policy engagement, B- grade in Plastic Promises Scorecard, Tier 3 in farm animal welfare rankings, B Corp certification",Bottled Water
,,Aqua Pura,,B,5,none,4/5 for packaging performance,Bottled Water
,,Vitaminwater,,C,5,"Irresponsible marketing, 10/100 in KnowTheChain Benchmark, Part ownership by Coca-Cola Company","4/5 for packaging performance, Renewable energy use, Banksia Sustainability Award 2019, CDP Climate Change score of A, CDP Water Security score of A-, 84/100 S&P Global ESG Score",Bottled Water
,,Fiji,,F,5,"Controversial conduct, 0/20 in Social Benchmark, 0% in Food and Agriculture Benchmark, 0% in Nature Benchmark",none,Bottled Water
,,Smartwater,,C,5,"Irresponsible marketing, 10/100 in KnowTheChain Benchmark, Part ownership by Coca-Cola Company","4/5 for packaging performance, Renewable energy use, Banksia Sustainability Award 2019, CDP Climate Change score of A, CDP Water Security score of A-, 84/100 S&P Global ESG Score",Bottled Water
,,Balance,,?,5,none,none,Bottled Water
,,Deep Spring,,C,5,"Irresponsible marketing, 10/100 in KnowTheChain Benchmark, Part ownership by Coca-Cola Company","4/5 for packaging performance, Renewable energy use, Banksia Sustainability Award 2019, CDP Climate Change score of A, CDP Water Security score of A-, 84/100 S&P Global ESG Score",Bottled Water
,,Moores Ultra Pure,,?,5,none,none,Bottled Water
,,OVI Hydration,,D,5,"32/100 in KnowTheChain Benchmark, 39/100 S&P Global ESG Score, Supply chain practices in China, Access to Nutrition rating, Unsustainable palm oil use","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A, 59/100 in TIME rankings",Bottled Water
,,Summit,,C,5,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Bottled Water
,,Northbrook,,D,5,"4.5/10 in Deforestation Scorecard, High free range stocking densities, Poverty wages in Bangladesh, Worker exploitation, 21.4% in Forest 500 Rankings, Unsustainable palm oil use, 13/100 in What Fuels Fashion?, Tier 4 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, COVID Fashion Commitments, Banksia Sustainability Award 2020, Palm oil rating - WAZA, Palm oil scorecard - WWF, International Accord signatory, Ethical Trading Initiative member, 10.5/20 in Social Benchmark",Bottled Water
,,VOSS,,C,5,"Supply chain practices in China, Palm oil rating - WAZA, 19.8% in Human Rights Benchmark, 15.2% in Gender Benchmark, 38/100 S&P Global ESG Score","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A-, 11.5/20 in Social Benchmark, 65/100 in TIME rankings",Bottled Water
,,Yaru,,B,5,none,2018 Excellence in Social Enterprise,Bottled Water
,,Pop Tops,,C,5,"Supply chain practices in China, Palm oil rating - WAZA, 19.8% in Human Rights Benchmark, 15.2% in Gender Benchmark, 38/100 S&P Global ESG Score","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A-, 11.5/20 in Social Benchmark, 65/100 in TIME rankings",Bottled Water
,,Berri,,C,6,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Cordial
,,Bickford's,,B,6,none,4/5 for packaging performance,Cordial
,,Buderim Ginger,,B,6,none,3/5 for packaging performance,Cordial
,,Cascade,,C,6,"Irresponsible marketing, 10/100 in KnowTheChain Benchmark, Part ownership by Coca-Cola Company","4/5 for packaging performance, Renewable energy use, Banksia Sustainability Award 2019, CDP Climate Change score of A, CDP Water Security score of A-, 84/100 S&P Global ESG Score",Cordial
,,Cottee's,,C,6,"Supply chain practices in China, Palm oil rating - WAZA, 19.8% in Human Rights Benchmark, 15.2% in Gender Benchmark, 38/100 S&P Global ESG Score","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A-, 11.5/20 in Social Benchmark, 65/100 in TIME rankings",Cordial
,,Fruities,,B,6,none,4/5 for packaging performance,Cordial
,,Golden Circle,,F,6,"Misleading labelling, Nanoparticles in baby formula, Palm oil sourcing, 12/100 in KnowTheChain Benchmark, 4/27 in pesticides scorecard, 0.3% in CF Marketing Index, Supply chain practices in China, D+ grade in Plastic Promises Scorecard, Palm oil scorecard - WWF, 13.8% in Human Rights Benchmark, Access to Nutrition rating, 18.5% in Gender Benchmark, Tier 5 in farm animal welfare rankings, Fined for wheat price manipulation, Part ownership by Berkshire Hathaway, Excessive CEO pay, $62m accounting fraud settlement","4/5 for packaging performance, CDP Climate Change score of B, Palm oil rating - WAZA, CDP Water Security score of B, 100% on Corporate Equality Index",Cordial
,,Lucozade,,D,6,"32/100 in KnowTheChain Benchmark, 39/100 S&P Global ESG Score, Supply chain practices in China, Access to Nutrition rating, Unsustainable palm oil use","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A, 59/100 in TIME rankings",Cordial
,,Ribena,,D,6,"32/100 in KnowTheChain Benchmark, 39/100 S&P Global ESG Score, Supply chain practices in China, Access to Nutrition rating, Unsustainable palm oil use","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A, 59/100 in TIME rankings",Cordial
,,Schweppes,,C,6,"Supply chain practices in China, Palm oil rating - WAZA, 19.8% in Human Rights Benchmark, 15.2% in Gender Benchmark, 38/100 S&P Global ESG Score","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A-, 11.5/20 in Social Benchmark, 65/100 in TIME rankings",Cordial
,,Sunshine,,B,6,none,4/5 for packaging performance,Cordial
,,Diet Rite,,F,6,"0% in Forest 500 Rankings, Pillaging American retail, 0.5/20 in Social Benchmark, JUST Capital ranking, 0.5% in Financial System Benchmark, Collusion lawsuit, 26/100 S&P Global ESG Score, CEO Pay Ratio of 352:1","4/5 for packaging performance, 100% on Corporate Equality Index",Cordial
,,Bundaberg,,D,6,Palm oil rating - WAZA,4/5 for packaging performance,Cordial
,,Vitafresh,,D,6,Palm oil rating - WAZA,none,Cordial
,,Bottlegreen,,D,6,Unsustainable palm oil use,none,Cordial
,,Viva,,F,6,"0% in Forest 500 Rankings, Pillaging American retail, 0.5/20 in Social Benchmark, JUST Capital ranking, 0.5% in Financial System Benchmark, Collusion lawsuit, 26/100 S&P Global ESG Score, CEO Pay Ratio of 352:1","4/5 for packaging performance, 100% on Corporate Equality Index",Cordial
,,Barker's,,D,6,"Price fixing in France, Price fixing in France",none,Cordial
,,Hansells,,D,6,Palm oil rating - WAZA,none,Cordial
,,Westcliff,,D,6,"4.5/10 in Deforestation Scorecard, High free range stocking densities, Poverty wages in Bangladesh, Worker exploitation, 21.4% in Forest 500 Rankings, Unsustainable palm oil use, 13/100 in What Fuels Fashion?, Tier 4 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, COVID Fashion Commitments, Banksia Sustainability Award 2020, Palm oil rating - WAZA, Palm oil scorecard - WWF, International Accord signatory, Ethical Trading Initiative member, 10.5/20 in Social Benchmark",Cordial
,,Pips,,F,6,"0% in Forest 500 Rankings, Pillaging American retail, 0.5/20 in Social Benchmark, JUST Capital ranking, 0.5% in Financial System Benchmark, Collusion lawsuit, 26/100 S&P Global ESG Score, CEO Pay Ratio of 352:1","4/5 for packaging performance, 100% on Corporate Equality Index",Cordial
,,Glucodin,,F,7,"Palm oil rating - WAZA, Involvement with Burma, 0/20 in Social Benchmark, 2% in Financial System Benchmark, Collusion lawsuit",3/5 for packaging performance,Energy Drinks
,,Lucozade,,D,7,"32/100 in KnowTheChain Benchmark, 39/100 S&P Global ESG Score, Supply chain practices in China, Access to Nutrition rating, Unsustainable palm oil use","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A, 59/100 in TIME rankings",Energy Drinks
,,Red Bull,,C,7,Misleading advertising,4/5 for packaging performance,Energy Drinks
,,Red Eye,,?,7,none,none,Energy Drinks
,,V,,D,7,"32/100 in KnowTheChain Benchmark, 39/100 S&P Global ESG Score, Supply chain practices in China, Access to Nutrition rating, Unsustainable palm oil use","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A, 59/100 in TIME rankings",Energy Drinks
,,Mother,,F,7,"Water risk management, 7.6% in Gender Benchmark, 15/100 S&P Global ESG Score, D grade for plastic pollution, 16/100 in KnowTheChain Benchmark, 10.2% in Human Rights Benchmark, JUST Capital ranking, Part ownership by Coca-Cola Company, 13.3% in Food and Agriculture Benchmark, 11.2% in Nature Benchmark",CDP Climate Change score of B-,Energy Drinks
,,Rockstar,,D,7,"32/100 in KnowTheChain Benchmark, 39/100 S&P Global ESG Score, Supply chain practices in China, Access to Nutrition rating, Unsustainable palm oil use","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A, 59/100 in TIME rankings",Energy Drinks
,,Monster,,F,7,"Water risk management, 7.6% in Gender Benchmark, 15/100 S&P Global ESG Score, D grade for plastic pollution, 16/100 in KnowTheChain Benchmark, 10.2% in Human Rights Benchmark, JUST Capital ranking, Part ownership by Coca-Cola Company, 13.3% in Food and Agriculture Benchmark, 11.2% in Nature Benchmark",CDP Climate Change score of B-,Energy Drinks
,,Wicked,,F,7,"0% in Forest 500 Rankings, Pillaging American retail, 0.5/20 in Social Benchmark, JUST Capital ranking, 0.5% in Financial System Benchmark, Collusion lawsuit, 26/100 S&P Global ESG Score, CEO Pay Ratio of 352:1","4/5 for packaging performance, 100% on Corporate Equality Index",Energy Drinks
,,Shine+,,?,7,none,none,Energy Drinks
,,Flying Power,,D,7,"4.5/10 in Deforestation Scorecard, High free range stocking densities, Poverty wages in Bangladesh, Worker exploitation, 21.4% in Forest 500 Rankings, Unsustainable palm oil use, 13/100 in What Fuels Fashion?, Tier 4 in farm animal welfare rankings","4/5 for packaging performance, Renewable energy use, COVID Fashion Commitments, Banksia Sustainability Award 2020, Palm oil rating - WAZA, Palm oil scorecard - WWF, International Accord signatory, Ethical Trading Initiative member, 10.5/20 in Social Benchmark",Energy Drinks
,,Remedy KICK,,B,7,none,"5/5 for packaging performance, Mostly organic products",Energy Drinks
,,Musashi Energy,,F,7,"Supply chain practices in China, Part owned by Govt of China, Price fixing in China, 20/100 S&P Global ESG Score",4/5 for packaging performance,Energy Drinks
,,Yerbi,,B,7,none,4/5 for packaging performance,Energy Drinks
,,Bang,,F,7,"Water risk management, 7.6% in Gender Benchmark, 15/100 S&P Global ESG Score, D grade for plastic pollution, 16/100 in KnowTheChain Benchmark, 10.2% in Human Rights Benchmark, JUST Capital ranking, Part ownership by Coca-Cola Company, 13.3% in Food and Agriculture Benchmark, 11.2% in Nature Benchmark",CDP Climate Change score of B-,Energy Drinks
,,Australian Grown,,C,8,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Juice & Fruit Drinks
,,Berri,,C,8,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Juice & Fruit Drinks
,,Daily Juice,,C,8,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Juice & Fruit Drinks
,,Nourish,,C,8,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Juice & Fruit Drinks
,,Fruit Box,,C,8,"Irresponsible marketing, 10/100 in KnowTheChain Benchmark, Part ownership by Coca-Cola Company","4/5 for packaging performance, Renewable energy use, Banksia Sustainability Award 2019, CDP Climate Change score of A, CDP Water Security score of A-, 84/100 S&P Global ESG Score",Juice & Fruit Drinks
,,Golden Circle,,F,8,"Misleading labelling, Nanoparticles in baby formula, Palm oil sourcing, 12/100 in KnowTheChain Benchmark, 4/27 in pesticides scorecard, 0.3% in CF Marketing Index, Supply chain practices in China, D+ grade in Plastic Promises Scorecard, Palm oil scorecard - WWF, 13.8% in Human Rights Benchmark, Access to Nutrition rating, 18.5% in Gender Benchmark, Tier 5 in farm animal welfare rankings, Fined for wheat price manipulation, Part ownership by Berkshire Hathaway, Excessive CEO pay, $62m accounting fraud settlement","4/5 for packaging performance, CDP Climate Change score of B, Palm oil rating - WAZA, CDP Water Security score of B, 100% on Corporate Equality Index",Juice & Fruit Drinks
,,Just Juice,,C,8,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Juice & Fruit Drinks
,,Mildura,,C,8,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Juice & Fruit Drinks
,,Moutain Fresh,,?,8,none,none,Juice & Fruit Drinks
,,Nippy's,,?,8,none,none,Juice & Fruit Drinks
,,Ocean Spray,,F,8,"0/20 in Social Benchmark, 8.9% in Food and Agriculture Benchmark, 5.3% in Nature Benchmark, Fined $US5.4m for false advertising","Sustainable cropping, 100% on Corporate Equality Index",Juice & Fruit Drinks
,,Original Juice,,?,8,none,none,Juice & Fruit Drinks
,,Pop Tops,,C,8,"Supply chain practices in China, Palm oil rating - WAZA, 19.8% in Human Rights Benchmark, 15.2% in Gender Benchmark, 38/100 S&P Global ESG Score","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A-, 11.5/20 in Social Benchmark, 65/100 in TIME rankings",Juice & Fruit Drinks
,,Prima,,C,8,"Renewable energy use, Palm oil rating - WAZA, 29/100 S&P Global ESG Score","76/100 in TIME rankings, 4/5 for packaging performance, Modern Slavery disclosure quality, 12/20 in Social Benchmark",Juice & Fruit Drinks
,,Pureharvest,,A,8,none,"5/5 for packaging performance, Mostly organic products, GM-Free brands",Juice & Fruit Drinks
,,Ribena,,D,8,"32/100 in KnowTheChain Benchmark, 39/100 S&P Global ESG Score, Supply chain practices in China, Access to Nutrition rating, Unsustainable palm oil use","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A, 59/100 in TIME rankings",Juice & Fruit Drinks
,,Spring Valley,,C,8,"Supply chain practices in China, Palm oil rating - WAZA, 19.8% in Human Rights Benchmark, 15.2% in Gender Benchmark, 38/100 S&P Global ESG Score","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A-, 11.5/20 in Social Benchmark, 65/100 in TIME rankings",Juice & Fruit Drinks
,,Sunraysia,,B,8,none,5/5 for packaging performance,Juice & Fruit Drinks
,,Sunzest,,?,8,none,none,Juice & Fruit Drinks
,,V8,,F,8,"Renewable energy use, 0% in Forest 500 Rankings, Pillaging American retail, 0.5/20 in Social Benchmark, JUST Capital ranking, 0.5% in Financial System Benchmark, Collusion lawsuit, 26/100 S&P Global ESG Score, CEO Pay Ratio of 352:1","5/5 for packaging performance, Palm oil rating - WAZA, 100% on Corporate Equality Index",Juice & Fruit Drinks
,,Goulburn Valley,,C,8,"Irresponsible marketing, 10/100 in KnowTheChain Benchmark, Part ownership by Coca-Cola Company","4/5 for packaging performance, Renewable energy use, Banksia Sustainability Award 2019, CDP Climate Change score of A, CDP Water Security score of A-, 84/100 S&P Global ESG Score",Juice & Fruit Drinks
,,Nudie,,D,8,"12/100 S&P Global ESG Score, Unsustainable palm oil use","4/5 for packaging performance, Palm oil rating - WAZA",Juice & Fruit Drinks
,,Grove,,B,8,none,3/5 for packaging performance,Juice & Fruit Drinks
,,Extra Juicy,,C,8,"Supply chain practices in China, Palm oil rating - WAZA, 19.8% in Human Rights Benchmark, 15.2% in Gender Benchmark, 38/100 S&P Global ESG Score","4/5 for packaging performance, CDP Climate Change score of A, CDP Water Security score of A-, 11.5/20 in Social Benchmark, 65/100 in TIME rankings",Juice & Fruit Drinks
,,Popper Juice,,F,8,"Misleading labelling, Nanoparticles in baby formula, Palm oil sourcing, 12/100 in KnowTheChain Benchmark, 4/27 in pesticides scorecard, 0.3% in CF Marketing Index, Supply chain practices in China, D+ grade in Plastic Promises Scorecard, Palm oil scorecard - WWF, 13.8% in Human Rights Benchmark, Access to Nutrition rating, 18.5% in Gender Benchmark, Tier 5 in farm animal welfare rankings, Fined for wheat price manipulation, Part ownership by Berkshire Hathaway, Excessive CEO pay, $62m accounting fraud settlement","4/5 for packaging performance, CDP Climate Change score of B, Palm oil rating - WAZA, CDP Water Security score of B, 100% on Corporate Equality Index",Juice & Fruit Drinks
,,Boost,,B,8,none,3/5 for packaging performance,Juice & Fruit Drinks
